05030000;Crinas e seus desperdícios, mesmo em mantas, com
05040011;Estômagos
05040012;Tripas
05040019;Outros
05040090;Outros
05051000;Penas dos tipos utilizados para enchimento ou
05059000;Outros
05061000;Osseína e ossos acidulados
05069000;Outros
05071000;Marfim, seus pós e desperdícios
05079000;Outros
05080000;Coral e matérias semelhantes, em bruto ou
05090000;Esponjas naturais de origem animal
05100045;Pâncreas
05100049;Outras
05100090;Outras
05111000;Sêmen de bovino
05119110;Ovas e sêmen de peixes
05119190;Outros
05119910;Cochonilha e insetos semelhantes
05119920;Ovos de bichodaseda
05119940;Sêmen animal
05119950;Crinas e seus desperdícios, mesmo em mantas, com ou sem suporte
05119960;Esponjas naturais de origem animal
05119990;Outros
06011000;Bulbos, tubérculos, raízes tuberosas, rebentos e
06012000;Bulbos, tubérculos, raízes tuberosas, rebentos e
06021000;Estacas não enraizadas e enxertos
06022000;Árvores, arbustos e silvados, de frutos
06023000;Rododendros e azaléias, enxertados ou não
06024000;Roseiras, enxertadas ou não
06029000;Outros
06031000;Frescos
06031100;Rosas
06031200;Cravos
06031300;Orquídeas
06031400;Crisântemos
06031900;Outros
06039000;Outros
06041000;Musgos e liquens
06049100;Frescos
06049900;Outros
07011000;Para semeadura (batata semente*)
07019000;Outras
07020000;Tomates, frescos ou refrigerados
07031010;Cebolas
07031020;Échalotes
07032000;Alhos
07039000;Alhosporros e outros produtos hortícolas aliáceos
07041000;Couveflor e brócolos
07042000;Couvedebruxelas
07049000;Outros
07051100;Repolhudas
07051900;Outras
07052100;Witloof (Cichorium intybus var foliosum)
07052900;Outras
07061000;Cenouras e nabos
07069000;Outros
07070000;Pepinos e pepininhos ("cornichons"), frescos ou
07081000;Ervilhas (Pisum sativum)
07082000;Feijões (Vigna spp, Phaseolus spp)
07089000;Outros legumes de vagem
07091000;Alcachofras
07092000;Aspargos
07093000;Berinjelas
07094000;Aipo, exceto aiporábano
07095100;Cogumelos do gênero Agaricus
07095200;Trufas
07095900;Outros
07096000;Pimentões e pimentas (pimentos*) dos gêneros
07097000;Espinafres, espinafresdaNovaZelândia e
07099010;Milho doce
07099020;Alcachofras
07099090;Outros
07101000;Batatas
07102100;Ervilhas (Pisum sativum)
07102200;Feijões (Vigna spp, Phaseolus spp)
07102900;Outros
07103000;Espinafres, espinafresdaNovaZelândia e
07104000;Milho doce
07108010;Aspargos
07108020;Beterrabas
07108030;Pimentões e pimentas (pimentos*) dos gêneros
07108090;Outros
07109000;Misturas de produtos hortícolas
07112000;Azeitonas
07113000;Alcaparras
07114000;Pepinos e pepininhos ("cornichons")
07115100;Cogumelos do gênero Agaricus
07115900;Outros
07119011;Tomates
07119019;Outros
07119020;Misturas de produtos hortícolas
07122000;Cebolas
07123010;COGUMELOS
07123020;TRUFAS
07123100;Cogumelos do gênero Agaricus
07123200;Orelhasdejudas (Auricularia spp)
07123300;Tremelas (Tremella spp)
07123900;Outros
07129011;Alhos
07129019;Outros
07129020;Misturas de produtos hortícolas
07131010;Para semeadura
07131090;Outras
07132010;Para semeadura
07132090;Outras
07133110;Para semeadura
07133190;Outras
07133210;Para semeadura
07133290;Outras
07133310;Para semeadura
07133390;Outras
07133910;Para semeadura
07133990;Outras
07134010;Para semeadura
07134090;Outras
07135010;Para semeadura
07135090;Outras
07139010;Para semeadura
07139090;Outras
07141000;Raízes de mandioca
07142000;Batatasdoces
07149000;Outros
08011100;Secos
08011900;Outros
08012100;Com casca
08012200;Sem casca
08013100;Com casca
08013200;Sem casca
08021100;Com casca
08021200;Sem casca
08022100;Com casca
08022200;Sem casca
08023100;Com casca
08023200;Sem casca
08024000;Castanhas (Castanea spp)
08025000;Pistácios
08026000;Nozes de macadâmia
08029000;Outras
08030000;Bananas, incluídas as pacovas ("plantains"),
08041000;Tâmaras
08042010;Frescos
08042020;Secos
08043000;Abacaxis (ananases)
08044000;Abacates
08045010;Goiabas
08045020;Mangas e mangostões
08051000;Laranjas
08052010;Mandarinas, com exclusão das tangerinas e satsumas
08052020;Tangerinas e satsumas
08052090;Outros
08054000;Pomelos ("Grapefruit")
08055010;Limões (Citrus limon, Citrus limonum)
08055020;Limas (Citrus aurantifolia, Citrus latifolia)
08059000;Outros
08061000;Frescas
08062010;Passas
08062090;Outras
08071100;Melancias
08071900;Outros
08072000;Mamões (papaias)
08081000;Maçãs
08082010;Pêras
08082020;Marmelos
08091000;Damascos
08092010;Ginjas
08092090;Outras
08093010;Pêssegos, exceto os "brugnons" e as nectarinas
08093020;Brugnons e nectarinas
08094000;Ameixas e abrunhos
08094010;AMEIXAS FRESCAS
08094020;ABRUNHOS FRESCOS
08101000;Morangos
08102000;Framboesas, amoras (incluídas as silvestres) e
08103000;Groselhas, incluído o "cassis"
08104000;Airelas, mirtilos e outras frutas do gênero
08105000;Quivis
08106000;Duriões
08109000;Outras
08111000;Morangos
08112000;Framboesas, amoras (incluídas as silvestres),
08119000;Outras
08119012;AMEIXAS
08121010;Ginjas
08121090;Outras
08129010;Morangos
08129090;Outras
08131010;Com caroço
